25       0      0  
24    2595    274  **
23   11468    263  ***
22    9199   5250  ***
21   17330   2774  ****
20   16493    897  ****
19   11788   1026  ***
18   20104   4406  *****
17   16322   5838  ****
16   17572   5297  ****
15   33104   5197  *******
14   41690    834  ********
13   43964   1045  *********
12   50754    864  **********
11   59924   8083  ************
10   74355   4607  *************
 9   72330   9891  **************
 8   94218   6440  ******************
 7   99328   2082  *****************
 6  136731   1251  ***********************
 5  138190   2445  ************************
 4  161000   2839  ***************************
 3  173949   8713  ******************************
 2  200915   9352  ***********************************
 1  239002  10257  *****************************************
